Keremes,1,475,1.6,25.2,64.4,Sajikan
Keripik gadung,1,446,2.8,14.5,76,Sajikan
Keripik singkong,1,478,0.9,20.7,72,Sajikan
Keripik singkong berbumbu,1,481,2.2,19.7,73.6,Sajikan
Kerupuk sayong,1,7,0.2,2.6,12.2,Sajikan
Ketapang,1,34,0.7,1.1,5.4,Sajikan
Ketela kukus,1,153,1.2,0.3,36.4,Sajikan
Ketela tapai,1,169,1.4,0.3,40.2,Sajikan
Ketupat ketan,1,212,4,4.6,38.6,Sajikan
Ketupat tahu,1,274,7.4,6.5,46.6,Sajikan
Komba kukus,1,71,2.3,0.3,15.4,Sajikan
Kue Kutu mayang,1,100,0.5,1.2,21.9,Sajikan
Kue apem,1,84,1.5,0.7,17.8,Sajikan
Kue bugis,1,24,0.3,0.1,5.4,Sajikan
Kue koya,1,366,4.2,4.3,7.9,Sajikan
Kue mangkok,1,91,1.5,0.5,20.2,Sajikan
Kue pacar cina,1,38,0.7,0.2,17.2,Sajikan
Kue pia,1,148,2.3,0.7,33.2,Sajikan
Kue satu,1,59,1.9,0.4,11.9,Sajikan
Kue semprong,1,38,0.1,0.1,9.2,Sajikan
Kue talam,1,18,0.1,0.5,3.2,Sajikan
Kue tambang,1,128,2.2,6.5,15.1,Sajikan
Laksa,1,499,8.2,11.6,88.4,Sajikan
Lemper,1,177,3,2.9,34.7,Sajikan
Lenting getuk,1,422,0.9,10.8,80.4,Sajikan
Leupeut ketan,1,96,3.1,0.2,20.5,Sajikan
Lopis,1,98,1.7,1.3,19.8,Sajikan
Lumpia,1,133,3.43,0.47,28.14,Sajikan
Martabak,1,199,3.5,4.1,37,Sajikan
Martabak telur,1,200,8.9,5.1,29.5,Sajikan
Mi kuning goreng,1,476,0.1,21.1,71.3,Sajikan
Mie +telur (Menu Pgln),1,178,5,0,0,Sajikan
Mie ayam,1,360,5.9,16.15,49.87,Sajikan
Mie goreng,1,117,1.9,5.1,15.6,Sajikan
Mie goreng (mie kering noodle),1,185,5.5,5.3,23.9,Sajikan
Mie laksa basah,1,155,0.2,0.1,38.2,Sajikan
Mie laksa kering,1,347,8,0.2,78.2,Sajikan
Mie sua,1,320,9.1,0.2,70.4,Sajikan
Misro,1,109,0.4,2,25.1,Sajikan
Nasi (Menu Pgln),1,176,3.3,0,0,Sajikan
Nasi Beras giling masak,1,178,2.1,0.1,40.6,Sajikan
Nasi beras giling pelita I/1,1,180,3,0.3,39.8,Sajikan
Nasi beras giling pelita II/1,1,158,4,0.5,33.2,Sajikan
Nasi beras tumbuk pelita I/1,1,166,4.2,0.5,35,Sajikan
Nasi beras tumbuk pelita II/1,1,144,3.6,0.4,30.6,Sajikan
Nasi goreng,1,138,1.6,1.6,15.1,Sajikan
Nasi goreng+telur (Menu Pgln),1,198,6.4,0,0,Sajikan
Nasi tim (Menu Pgln),1,120,2.3,0,0,Sajikan
Nasi uduk,1,152,2.6,2.6,7,Sajikan
Onde-onde,1,101,2.9,3.1,15.5,Sajikan
Ongol-ongol,1,23,0.3,1.2,2.8,Sajikan
Ongol-ongol sagu,1,111,0.3,2.7,21.2,Sajikan
Opak singkong,1,47,1.8,2.1,5.2,Sajikan
Papais,1,107,2.4,1.3,21.6,Sajikan
Pastel,1,208,5.2,15.4,31.4,Sajikan
Perkedel kentang,1,439,15.77,7.13,79.62,Sajikan
Pilus,1,257,0.5,13.9,32.5,Sajikan
Putu,1,21,0.3,0.6,3.7,Sajikan
Rarawuan,1,118,2.9,3.4,19,Sajikan
Risoles,1,134,2.1,1.4,28.2,Sajikan
Roti gambang,1,70,1.5,0.4,15.1,Sajikan
Roti isi coklat,1,215,5.29,1.9,44.95,Sajikan
Roti isi kacang,1,217,6,0.23,45.65,Sajikan
Roti isi kelapa (manis),1,518,13.7,30,48.4,Sajikan
Roti kukus,1,249,5.1,2.1,52.5,Sajikan
Sagu ambon,1,338,0.6,0.3,83.1,Sajikan
Serabi,1,245,6,5,43.9,Sajikan
Singkong goreng,1,57,0.2,3.6,5.6,Sajikan
Siomay,1,162,7.5,3.8,24.4,Sajikan
Soun,1,351,11.3,0,76.5,Sajikan
Sriping talas kebumen,1,478,2.5,21.2,69.2,Sajikan
Supermi (Menu Pgln),1,113,0.6,0,0,Sajikan
Supermi+telor (Menu Pgln),1,166,6.8,0,0,Sajikan
Suweg kukus,1,93,1.5,0.1,21.9,Sajikan
Talas kukus,1,120,1.5,0.3,28.2,Sajikan
Tapai beras ketan hitam,1,166,3.8,1,34.4,Sajikan
Tapai beras ketan putih,1,172,3,0.5,37.5,Sajikan
Ubi jalar goreng,1,48,1.1,0.4,16.6,Sajikan
Ubi jalar kukus,1,100,0.7,0.3,23.8,Sajikan
Ubi jalar rebus,1,74,0.9,6.2,16.6,Sajikan
Ubi jalar sayur,1,110,0.8,0.2,13.5,Sajikan
Ubi kemayung kukus,1,165,0.9,0.2,39.8,Sajikan
Ampas tahu kukus,1,75,4.1,2.1,10.7,Sajikan
Biji jambu mete goreng,1,629,21.5,56.6,19.8,Sajikan
